Nation_ID,Nation,State_ID,State,Municipality_ID,Municipality,Exports,Imports,Balance
mex,México,14,Jalisco,14002,Acatlán de Juárez,18495587,17065972,1429615
mex,México,14,Jalisco,14003,Ahualulco de Mercado,2456887,0,2456887
mex,México,14,Jalisco,14005,Amatitán,49684011,672023,49011988
mex,México,14,Jalisco,14008,Arandas,71880216,27422073,44458143
mex,México,14,Jalisco,14009,El Arenal,31466889,45496044,-14029155
mex,México,14,Jalisco,14013,Atotonilco el Alto,813069247,3789498,809279749
mex,México,14,Jalisco,14015,Autlán de Navarro,5420270,2266950,3153320
mex,México,14,Jalisco,14023,Zapotlán el Grande,81151250,3852836,77298414
mex,México,14,Jalisco,14036,Etzatlán,1156560,0,1156560
mex,México,14,Jalisco,14039,Guadalajara,3347563144,5983406142,-2635842998
mex,México,14,Jalisco,14050,Jocotepec,6203522,95524,6107998
mex,México,14,Jalisco,14053,Lagos de Moreno,160340791,296724628,-136383837
mex,México,14,Jalisco,14063,Ocotlán,1198737,38884285,-37685548
mex,México,14,Jalisco,14066,Poncitlán,221194,1356948,-1135754
mex,México,14,Jalisco,14067,Puerto Vallarta,63888,35579623,-35515735
mex,México,14,Jalisco,14070,El Salto,6063401192,3406985233,2656415959
mex,México,14,Jalisco,14073,San Juan de los Lagos,47808839,676770942,-628962103
mex,México,14,Jalisco,14077,San Martín Hidalgo,2493067,0,2493067
mex,México,14,Jalisco,14082,Sayula,7458252,87286,7370966
mex,México,14,Jalisco,14083,Tala,4781921,2649918,2132003
mex,México,14,Jalisco,14093,Tepatitlán de Morelos,22515712,67037712,-44522000
mex,México,14,Jalisco,14094,Tequila,421096178,26577561,394518617
mex,México,14,Jalisco,14097,Tlajomulco de Zúñiga,1891867704,4491474552,-2599606848
mex,México,14,Jalisco,14098,San Pedro Tlaquepaque,4139520538,5108901189,-969380651
mex,México,14,Jalisco,14100,Tomatlán,6571710,0,6571710
mex,México,14,Jalisco,14101,Tonalá,46047351,37734873,8312478
mex,México,14,Jalisco,14120,Zapopan,12448334038,16528767040,-4080433002
mex,México,14,Jalisco,14124,Zapotlanejo,4586534,20222925,-15636391
mex,México,14,Jalisco,14125,San Ignacio Cerro Gordo,39448,0,39448
mex,México,14,Jalisco,14016,Ayotlán,0,21266373,-21266373
mex,México,14,Jalisco,14018,La Barca,0,2594803,-2594803
mex,México,14,Jalisco,14044,Ixtlahuacán de los Membrillos,0,6728389,-6728389
mex,México,14,Jalisco,14078,San Miguel el Alto,0,6275189,-6275189
mex,México,14,Jalisco,14079,Gómez Farías,0,449580,-449580
mex,México,14,Jalisco,14085,Tamazula de Gordiano,0,79091,-79091
mex,México,14,Jalisco,14105,Tototlán,0,176238,-176238
mex,México,14,Jalisco,14111,Valle de Guadalupe,0,2192125,-2192125
mex,México,14,Jalisco,14119,Zacoalco de Torres,0,562828,-562828
